ALDER,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
30,1301,0.8455034589,0.1544965411,0.1037663336,0.0960799385,0.1029976941,0.5426594927,1.5676152882,,,,3.3217670392,0.0021440181,1493.7272727,4.3236951E-7,0.810510167,
31,2482,0.8255439162,0.1744560838,0.0882352941,0.0898468977,0.1019339243,0.5455278002,1.3177036221,0.7730426165,0.1496531219,,3.5319748214,0.0022570773,1524.4021474,5.6661242E-7,0.9774567725,
32,3552,0.8119369369,0.1880630631,0.0703828829,0.0836148649,0.0951576577,0.5627815315,1.4281733652,0.7603015075,0.1527638191,,3.8396397379,0.0023801908,1568.2212205,7.2125807E-7,1.1202479258,
33,4342,0.8090741594,0.1909258406,0.0670198065,0.070935053,0.0833717181,0.5877475818,1.5974270306,0.7612809316,0.1626637555,,4.0212734605,0.0024497432,1600.6689439,7.823646E-7,1.1515114441,
34,4950,0.8107070707,0.1892929293,0.0602020202,0.0713131313,0.0802020202,0.598989899,1.8539468236,0.7610698366,0.1607726597,,4.2409407572,0.002566775,1616.9573885,8.9942815E-7,1.1839782707,
35,5483,0.8099580522,0.1900419478,0.0563560095,0.0744118183,0.0793361299,0.5998540945,1.9848578986,0.7730769231,0.1646153846,5.8789808917,4.3718706143,0.0026353387,1620.7723486,9.6912942E-7,1.1464674416,
36,8619,0.8586843021,0.1413156979,0.0474533008,0.0542986425,0.072862281,0.6840700777,2.6318275247,0.8029966704,0.1331853496,7.8098495212,5.1346373507,0.0029849474,1685.1844345,1.4242488E-6,1.3280964397,
37,11739,0.882272766,0.117727234,0.0396115512,0.049152398,0.0695970696,0.7239117472,4.6863624885,0.8488330341,0.1036505087,8.6926234766,5.6402172677,0.0032278086,1714.5215796,1.7525716E-6,1.3827581221,
38,14733,0.8976447431,0.1023552569,0.0331907962,0.0413357768,0.066110093,0.7570080771,3.4156564458,0.8761093362,0.0840433085,9.4965741075,6.017228456,0.0034003829,1741.8449905,2.1296388E-6,1.4996908161,
39,17853,0.9056741164,0.0943258836,0.0325995631,0.0393771355,0.0632386714,0.7704587464,3.7318280092,0.8878300155,0.0767330227,10.287493911,6.34719586,0.0035707005,1748.7135877,2.4363761E-6,1.4945233793,
40,17484,0.9090597117,0.0909402883,0.0309997712,0.0366048959,0.0603408831,0.7811141615,4.5621244563,0.8920380788,0.0755805568,11.121696113,6.5440648156,0.0036635675,1757.6003523,2.7007431E-6,1.5564629521,
41,16899,0.9114740517,0.0885259483,0.0279306468,0.0394697911,0.0550920173,0.7889815965,5.6550205604,0.8934797122,0.0730657963,11.994958352,6.7395598742,0.0037617232,1763.374018,3.0548538E-6,1.6187946842,
42,16541,0.9145154465,0.0854845535,0.0266005683,0.0347621063,0.0545916208,0.7985611511,5.8120212775,0.8978519196,0.0707647776,12.865243993,6.948867133,0.0038638723,1772.4763668,3.343064E-6,1.6473929351,
43,15978,0.9197646764,0.0802353236,0.0276630367,0.0356740518,0.0509450494,0.8054825385,5.6225607267,0.904654245,0.0662664692,13.82013776,7.0946022172,0.0039461029,1772.5367447,3.6030611E-6,1.7239083502,
44,15429,0.9205392443,0.0794607557,0.0279344092,0.0361008491,0.0502300862,0.8062738998,6.180853999,0.9079182216,0.0651468441,14.711107567,7.2691405901,0.0040524236,1772.0904034,4.0742733E-6,1.829618949,
45,15154,0.9216048568,0.0783951432,0.0276494655,0.0335225023,0.0499538076,0.8104790814,6.4021048212,0.9081189442,0.0633979285,15.753188055,7.4109616933,0.0041127785,1776.1456394,4.1516329E-6,1.8099150898,
46,14897,0.9210579311,0.0789420689,0.0264482782,0.0323555078,0.049003155,0.8132509901,6.7407696388,0.9063482621,0.0655222232,16.680384426,7.5739452309,0.0041975923,1780.3002697,4.6850368E-6,1.9275839164,
47,14703,0.9215126165,0.0784873835,0.024892879,0.0319662654,0.048969598,0.815683874,7.412168707,0.9085865483,0.064441789,17.714723165,7.724452295,0.0042913829,1783.65193,5.1791077E-6,1.9731486702,
48,14631,0.9255006493,0.0744993507,0.0265190349,0.0326703575,0.0487321441,0.8175791128,8.2048851866,0.9127113552,0.0609389752,18.616726484,7.8260334112,0.0043539222,1780.5331955,5.4586652E-6,1.9478167152,
49,14114,0.9226300128,0.0773699872,0.0250106277,0.0318123849,0.0478248548,0.8179821454,9.7582105732,0.9131047854,0.0610734115,19.563458001,8.0064160871,0.0044435218,1784.5185071,6.0211054E-6,2.0407762776,
50,13301,0.9222614841,0.0777385159,0.0278174573,0.0326291256,0.0466882189,0.8151266822,9.2230181842,0.9107748739,0.0626318203,20.48412251,8.0230762086,0.0044628333,1779.1717616,5.9621365E-6,1.9870212576,
51,12629,0.9197086072,0.0802913928,0.0281890886,0.0304853908,0.0463219574,0.8147121704,9.5224564547,0.9078985718,0.064024094,21.359956127,8.1187233711,0.0045025663,1781.0891089,6.1318185E-6,1.9880745652,
52,11941,0.9146637635,0.0853362365,0.0309019345,0.0296457583,0.0458923038,0.8082237669,10.07135825,0.9048358704,0.0664802734,22.217588204,8.1059489402,0.0045191057,1776.8769456,6.4698103E-6,2.0277620256,
53,11340,0.9126102293,0.0873897707,0.0283950617,0.0318342152,0.0480599647,0.8043209877,10.495962495,0.8991285403,0.0725490196,23.132409546,8.051298498,0.0044844576,1776.9494637,6.4640302E-6,2.0922105436,
54,11158,0.9095716078,0.0904283922,0.0302025453,0.0324430902,0.0515325327,0.7953934397,11.178990648,0.8968262745,0.0751962844,24.107946359,8.0092174831,0.0044791553,1770.1990344,6.3185607E-6,2.0137744013,
55,10794,0.9073559385,0.0926440615,0.0339077265,0.0340930146,0.0489160645,0.7904391329,11.388721555,0.8955376405,0.0765300329,25.056769056,7.9676584384,0.0044787693,1762.7833367,6.5156129E-6,2.1313743117,
56,10445,0.9020584011,0.0979415989,0.03255146,0.0336045955,0.0484442317,0.7874581139,12.475681785,0.8882878645,0.0799623706,26.085271318,7.8529863258,0.0044066813,1765.3948206,6.1332652E-6,2.1116038288,
57,9859,0.8980626838,0.1019373162,0.0346891165,0.0324576529,0.0480778984,0.782838016,12.357885618,0.8874319644,0.0841167739,27.007094847,7.7257906174,0.0043330901,1762.5818839,5.6469065E-6,2.1059051722,
58,9125,0.8928219178,0.1071780822,0.0356164384,0.0370410959,0.0464657534,0.7736986301,14.45280354,0.8816364359,0.0892360651,27.836646383,7.5426510586,0.0042502041,1755.2411931,5.3026973E-6,2.083004604,
59,8551,0.8825868319,0.1174131681,0.0363700152,0.0376564145,0.0473628815,0.7611975208,14.088787605,0.8717692418,0.0982436099,28.511896074,7.3880571296,0.0041724756,1750.7420167,4.7262244E-6,1.9948790781,
60,8036,0.8702090592,0.1297909408,0.0390741663,0.0430562469,0.0523892484,0.7356893977,13.60550361,0.8562031513,0.1086125134,29.139371187,7.2719869504,0.004157237,1732.8900329,4.5814916E-6,1.9504402449,
61,7489,0.854453198,0.145546802,0.0376552277,0.0355187608,0.0602216584,0.7210575511,14.8837719,0.8392711892,0.1185944363,30.102006407,7.1643518461,0.0040883912,1737.1933115,4.2363525E-6,1.9201125728,
62,7287,0.8394400988,0.1605599012,0.0448744339,0.0414436668,0.0638122684,0.6893097297,16.260573472,0.8270306936,0.1322706461,30.886619353,7.016921515,0.0040720726,1709.4082066,4.3567829E-6,2.0437513994,
63,7168,0.8162667411,0.1837332589,0.0496651786,0.0461774554,0.0684988839,0.6519252232,16.990193545,0.8036842105,0.1478947368,31.73500796,6.8392622258,0.0040385041,1684.1992822,4.1772868E-6,2.1556469664,
64,7025,0.7839145907,0.2160854093,0.0609252669,0.0523843416,0.0680427046,0.6025622776,18.63734546,0.7726869117,0.1743917599,32.553951642,6.6808060886,0.0040816575,1642.83639,4.7529685E-6,2.3259547368,
65,6992,0.7336956522,0.2663043478,0.0759439359,0.0599256293,0.0769450801,0.5208810069,20.597279399,0.7320179372,0.2134529148,32.910792151,6.343980545,0.0040857818,1572.3586745,4.9543977E-6,2.399558849,
66,6812,0.6623605402,0.3376394598,0.0933646506,0.058719906,0.0767762772,0.4334997064,20.079799279,0.6587825449,0.2636596993,33.424745379,6.1002153653,0.0041380233,1495.9219858,5.7595397E-6,2.5931783321,
67,6754,0.5663310631,0.4336689369,0.1128220314,0.0667752443,0.0710689962,0.3156647912,20.567850455,0.566827997,0.3466120625,33.747166186,5.7380418161,0.0043749747,1360.4052288,8.7881452E-6,3.0677333944,3401740.008
68,6615,0.4875283447,0.5124716553,0.1300075586,0.0604686319,0.0666666667,0.2303854875,19.572130665,0.4696509863,0.4347496206,33.737171955,5.1214448757,0.0042889974,1235.3178295,8.3819518E-6,3.1359687891,
69,6435,0.4177156177,0.5822843823,0.1314685315,0.0571872572,0.0560994561,0.172960373,20.564520802,0.4082106894,0.5135553834,33.672475962,4.6552702092,0.0041655237,1142.671131,6.724305E-6,2.7279378516,
70,6337,0.3692599022,0.6307400978,0.1371311346,0.0568092157,0.0528641313,0.1224554205,21.09139516,0.3504973669,0.5705090696,33.465548596,4.2441128851,0.0042077904,1024.4230769,6.7269429E-6,2.664741328,
